name,url,thumbnail,rating,total_ratings,price,currency,currency_symbol,is_sponsored,past_month_bought
"Robot Vacuum and Mop Combo, WiFi/App/Voice, Robotic Vacuum Cleaner with Schedule, 2 in 1 Mopping Robot Vacuum with Water Tank and Dustbin, Self-Charging, Slim, Ideal for Hard Floor, Pet Hair, Carpet ",https://www.amazon.com/Robotic-Cleaner-Schedule-Mopping-Self-Charging/dp/B0CRYWLZ56,https://m.media-amazon.com/images/I/71egH0LE7dL._AC_UY218_.jpg,4.7,268,129.99,USD,$,False,200+
"Robot Vacuum and Mop Combo, 5000Pa Robot Vacuum Cleaner with LIDAR Navigation, 3 in 1 Robot Vacuum Mop with Auto Carpet Boost, Self Charging, App/Voice Control, Ideal for Pet Hair,5 Maps ",https://www.amazon.com/Laresar-Clean-Cleaner-Navigation-Charging/dp/B0D6V8W64C,https://m.media-amazon.com/images/I/81j1LgWJhgL._AC_UY218_.jpg,5.0,67,199.99,USD,$,False,100+
"Robot Vacuum and Mop,Self-Emptying Robot Vacuum Cleaner,3500Pa Suction,Laser Navigator with Smart Mapping Robotic Vacuums,180Mins Runtime,Schedule,App Control,Ideal for Carpet/Pet Hair ",https://www.amazon.com/Airzeen-Self-Emptying-Cleaner-Navigator-Schedule/dp/B0D6V5J98T,https://m.media-amazon.com/images/I/81GvQQ47HCL._AC_UY218_.jpg,5.0,21,389.99,USD,$,False,100+
"Robot Vacuum and Mop Combo, Robot Vacuum with Wi-Fi/APP, Self-Charging Robot Vacuum and Mop Ultra Slim Quiet, Ideal for Hard Floor, Pet Hair and Daily Cleaning ",https://www.amazon.com/MANVN-Robot-Vacuum-Self-Charging-Cleaning/dp/B0CT5FSTS2,https://m.media-amazon.com/images/I/71lGNwAIl4L._AC_UY218_.jpg,4.8,236,137.99,USD,$,False,1K+
"OKP Life K2 Robot Vacuum Cleaner 1800 mAh, Blue ",https://www.amazon.com/OKP-K2-Robot-Vacuum-Cleaner/dp/B08P2T2NXH,https://m.media-amazon.com/images/I/61dAEVab8vL._AC_UY218_.jpg,4.0,14803,89.98,USD,$,False,700+
"ILIFE V3s Pro Robot Vacuum Cleaner, Tangle-free Suction , Slim, Automatic Self-Charging Robotic Vacuum Cleaner, Daily Schedule Cleaning, Ideal For Pet Hair，Hard Floor and Low Pile Carpet,Pearl White ",https://www.amazon.com/ILIFE-Robotic-Powerful-Tangle-free-Planning/dp/B06Y56NDF4,https://m.media-amazon.com/images/I/51ohDLYtzDL._AC_UY218_.jpg,4.2,23258,99.99,USD,$,False,700+
"HONITURE Robot Vacuum and Mop Combo, 4000pa Strong Suction, G20 Robot Vacuum Cleaner with Self-Charging, 150Mins Max, App&Remote&Voice Control, Super-Slim, Ideal for Pet Hair ",https://www.amazon.com/HONITURE-Suction-G20-Self-Charging-Super-Slim/dp/B0CQ4PLMJP,https://m.media-amazon.com/images/I/71YUtjPY-iL._AC_UY218_.jpg,4.5,1088,189.99,USD,$,False,500+
"Robot Vacuum and Mop Cleaner with 4500Pa Suction, Advanced 3D Obstacle Avoidance, Next-Generation Smart APP & Voice Control Robotic Vacuum, Automatic Aspirdora for Home Hard Floor, Pet Hair ",https://www.amazon.com/VIPSUN-Avoidance-Next-Generation-Automatic-Aspirdora/dp/B0D3HPDH7G,https://m.media-amazon.com/images/I/61itsOLfU0L._AC_UY218_.jpg,4.5,201,129.99,USD,$,False,1K+
"Robot Vacuum, 2 in 1 Robot Vacuum and Mop Combo with APP, Voice and Remote Control, Robot Vacuum Cleaner Perfect for Pet Hair, Hard-Floor and Carpet ",https://www.amazon.com/ZC-WAS-Control-Cleaner-Hard-Floor/dp/B0CQLN9XHQ,https://m.media-amazon.com/images/I/717HyYprpRL._AC_UY218_.jpg,4.7,246,125.99,USD,$,False,700+
"HONITURE Robot Vacuum and Mop Combo, 4000pa Strong Suction, G20 Robot Vacuum Cleaner with Self-Charging, 150Mins Max, App&Remote&Voice Control, Super-Slim, Ideal for Pet Hair ",https://www.amazon.com/HONITURE-Suction-G20-Self-Charging-Super-Slim/dp/B0CQ4PLMJP,https://m.media-amazon.com/images/I/71YUtjPY-iL._AC_UY218_.jpg,4.5,1088,189.99,USD,$,False,500+
