"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime"
2,21,67,"B09YM1ZPR2",true,66.99,"USD",89.99,23,25.56,0,4.4,"https://www.amazon.com/dp/B09YM1ZPR2",0,false,false,false,false
2,22,68,"B07GB4S9H5",true,71.22,"USD",79.99,8.77,10.96,0,4.2,"https://www.amazon.com/dp/B07GB4S9H5",0,false,false,false,false
3,6,69,"B07GB4S9H5",true,71.22,"USD",79.99,8.77,10.96,0,4.2,"https://www.amazon.com/dp/B07GB4S9H5",0,false,false,false,false
3,7,70,"B085WPWTM1",true,139.99,"USD",209.99,70,33.33,0,4,"https://www.amazon.com/dp/B085WPWTM1",0,false,false,false,false
3,8,71,"B09YS9N7H2",true,328.99,"USD",469.99,141,30,0,4.3,"https://www.amazon.com/dp/B09YS9N7H2",0,false,false,false,false
3,9,72,"B07F6N3RT6",false,135.22,"USD",0,0,0,0,4.6,"https://www.amazon.com/dp/B07F6N3RT6",0,false,false,false,false
3,10,73,"B089TPNZQ5",true,319,"USD",349.99,30.99,8.85,0,4.4,"https://www.amazon.com/dp/B089TPNZQ5",0,false,false,false,false
3,12,74,"B0CPLK6GCR",true,79.99,"USD",99.99,20,20,0,4.1,"https://www.amazon.com/dp/B0CPLK6GCR",0,false,false,false,false
3,13,75,"B0DFYW9P6C",true,89.98,"USD",129.99,40.01,30.78,0,5,"https://www.amazon.com/dp/B0DFYW9P6C",0,false,false,false,false
3,14,76,"B08JTVDQ2G",true,289.99,"USD",349.99,60,17.14,0,4.1,"https://www.amazon.com/dp/B08JTVDQ2G",0,false,false,false,false
3,15,77,"B00260TWII",true,142.96,"USD",247.99,105.03,42.35,0,4.3,"https://www.amazon.com/dp/B00260TWII",0,false,false,false,false
3,16,78,"B08671LHZB",true,66.49,"USD",82.99,16.5,19.88,0,4.4,"https://www.amazon.com/dp/B08671LHZB",0,false,false,false,false
3,17,79,"B0CTZSN718",true,104.99,"USD",149.99,45,30,0,4.2,"https://www.amazon.com/dp/B0CTZSN718",0,false,false,false,false
